[(406, 678), (203, 526), (489, 58)]
[(292, 178), (414, 67), (199, 325)]
[(533, 630), (236, 153), (394, 52)]
[(227, 96), (106, 425), (68, 521)]
[(493, 343), (319, 644), (386, 426)]
[(584, 219), (630, 460), (517, 611)]
[(99, 252), (309, 110), (183, 459)]
[(494, 212), (255, 206), (420, 222)]
[(288, 350), (356, 326), (236, 169)]
[(158, 20), (330, 39), (514, 283)]
[(221, 300), (497, 679), (511, 586)]
[(479, 17), (249, 677), (220, 609)]
[(312, 119), (283, 365), (184, 413)]
[(86, 498), (361, 564), (210, 602)]
[(73, 87), (58, 371), (122, 8)]
[(542, 19), (412, 151), (291, 603)]
[(136, 455), (404, 594), (45, 217)]
[(515, 365), (211, 60), (348, 485)]
[(608, 406), (73, 428), (304, 489)]
[(236, 131), (531, 181), (198, 670)]
[(492, 356), (388, 547), (564, 83)]
[(503, 469), (342, 279), (381, 339)]
[(455, 8), (8, 410), (55, 661)]
[(206, 202), (548, 297), (128, 346)]
[(2, 263), (406, 222), (304, 389)]
[(385, 114), (396, 429), (460, 275)]
[(256, 526), (515, 137), (413, 180)]
[(327, 399), (309, 423), (292, 572)]
[(566, 57), (206, 150), (444, 501)]
[(573, 47), (325, 649), (298, 355)]
[(391, 130), (420, 582), (125, 9)]
[(181, 428), (464, 343), (381, 311)]
[(323, 346), (290, 523), (57, 345)]
[(330, 34), (213, 416), (439, 45)]
[(135, 289), (75, 552), (315, 79)]
[(92, 200), (586, 402), (478, 198)]
[(87, 126), (17, 340), (10, 230)]
[(543, 469), (416, 434), (547, 428)]
[(332, 220), (324, 648), (55, 238)]
