[(527, 319), (332, 281), (859, 341)]
[(425, 447), (906, 267), (433, 280)]
[(410, 219), (738, 229), (390, 458)]
[(777, 225), (612, 508), (362, 286)]
[(588, 239), (612, 436), (410, 318)]
[(372, 308), (532, 462), (671, 413)]
[(657, 330), (777, 314), (336, 356)]
[(674, 333), (409, 492), (877, 192)]
[(714, 483), (455, 357), (694, 200)]
[(721, 173), (477, 317), (745, 393)]
[(558, 331), (377, 178), (915, 269)]
[(725, 204), (946, 280), (390, 310)]
[(843, 389), (931, 353), (541, 331)]
[(757, 483), (398, 303), (406, 374)]
[(441, 468), (811, 464), (900, 183)]
[(879, 437), (563, 223), (733, 263)]
[(807, 443), (503, 324), (874, 405)]
[(506, 356), (936, 510), (836, 337)]
[(766, 398), (877, 477), (408, 199)]
[(329, 512), (722, 332), (611, 268)]
[(582, 263), (340, 201), (807, 429)]
[(368, 489), (602, 454), (323, 242)]
[(786, 466), (637, 352), (434, 231)]
[(377, 286), (778, 209), (528, 459)]
[(571, 348), (707, 502), (354, 178)]
[(886, 441), (633, 238), (609, 180)]
[(489, 487), (783, 199), (777, 336)]
[(923, 400), (631, 296), (478, 252)]
[(542, 293), (415, 302), (802, 416)]
[(943, 261), (332, 377), (959, 369)]
[(394, 321), (643, 468), (856, 459)]
