@relation pvt_601_lifetimes

@attribute "unit_id" integer
@attribute "type" string
@attribute "gained" integer
@attribute "lost" integer
@attribute "completed" integer
@attribute "observable" integer

@data

1,Protoss Probe,0,20546,0,0
2,Protoss Probe,0,20546,0,0
3,Protoss Probe,0,20546,0,0
4,Protoss Probe,0,18591,0,0
5,Protoss Nexus,0,20546,0,0
27,Protoss Assimilator,2371,20546,3041,2371
155,Protoss Probe,6,16274,307,307
156,Protoss Probe,350,20546,651,651
158,Protoss Probe,652,16635,953,953
160,Protoss Probe,954,20546,1255,1255
162,Protoss Pylon,1176,20546,1697,1176
164,Protoss Probe,1280,20546,1581,1581
167,Protoss Probe,1697,16437,1998,1998
168,Protoss Gateway,1822,20546,2793,1822
170,Protoss Probe,1999,16618,2300,2300
172,Protoss Probe,2301,20546,2602,2602
174,Protoss Probe,2603,7386,2904,2904
176,Protoss Probe,2905,20546,3206,3206
177,Protoss Cybernetics Core,2944,20546,3915,2944
179,Protoss Pylon,3142,20546,3663,3142
180,Protoss Probe,3230,9595,3531,3531
183,Protoss Probe,3532,16912,3833,3833
187,Protoss Probe,3834,20546,4135,4135
188,Protoss Dragoon,3924,8314,4675,4675
190,Protoss Probe,4136,20546,4437,4437
193,Protoss Probe,4438,20546,4739,4739
196,Protoss Pylon,4599,20546,5120,4599
197,Protoss Dragoon,4676,7554,5427,5427
199,Protoss Probe,4740,10074,5041,5041
202,Protoss Probe,5042,20546,5343,5343
204,Protoss Probe,5344,20546,5645,5645
206,Protoss Robotics Facility,5484,20546,6755,5484
207,Protoss Pylon,5494,20546,6015,5494
208,Protoss Dragoon,5586,14775,6337,6337
210,Protoss Probe,5646,20546,5947,5947
213,Protoss Gateway,5936,20546,6907,5936
214,Protoss Probe,6004,20546,6305,6305
216,Protoss Probe,6356,20546,6657,6657
218,Protoss Dragoon,6398,8141,7149,7149
220,Protoss Pylon,6607,20546,7128,6607
224,Protoss Probe,6878,20546,7179,7179
225,Protoss Dragoon,6930,15036,7681,7681
227,Protoss Observatory,7026,20546,7547,7026
228,Protoss Dragoon,7150,15043,7901,7901
234,Protoss Probe,7748,18275,8049,8049
235,Protoss Observer,7788,20546,8389,8389
241,Protoss Probe,8120,16592,8421,8421
242,Protoss Dragoon,8128,14479,8879,8879
243,Protoss Dragoon,8134,15028,8885,8885
248,Protoss Nexus,8518,18786,10389,8518
250,Protoss Observer,8660,20546,9261,9261
255,Protoss Dragoon,8880,13354,9631,9631
256,Protoss Dragoon,8886,13483,9637,9637
258,Protoss Probe,9204,16972,9505,9505
259,Protoss Nexus,9370,20546,11241,9370
268,Protoss Probe,10034,17297,10335,10335
273,Protoss Probe,10336,20546,10637,10637
274,Protoss Dragoon,10372,14327,11123,11123
276,Protoss Probe,10438,11295,10739,10739
277,Protoss Dragoon,10588,15875,11339,11339
278,Protoss Observer,10600,20546,11201,11201
281,Protoss Probe,10638,20546,10939,10939
282,Protoss Probe,10740,20546,11041,11041
287,Protoss Probe,11042,20546,11343,11343
290,Protoss Dragoon,11124,14791,11875,11875
292,Protoss Observer,11202,20546,11803,11803
294,Protoss Dragoon,11340,14479,12091,12091
299,Protoss Probe,11530,16485,11831,11831
300,Protoss Probe,11608,16378,11909,11909
304,Protoss Gateway,11700,20546,12671,11700
306,Protoss Probe,11832,12335,12133,12133
310,Protoss Dragoon,11876,15520,12627,12627
311,Protoss Probe,11910,12281,12211,12211
315,Protoss Gateway,12046,20546,13017,12046
316,Protoss Dragoon,12092,15632,12843,12843
320,Protoss Probe,12134,20546,12435,12435
321,Protoss Probe,12212,17318,12513,12513
323,Protoss Probe,12488,16559,12789,12789
325,Protoss Probe,12514,20546,12815,12815
328,Protoss Pylon,12611,20546,13132,12611
334,Protoss Forge,12863,20546,13534,12863
