@relation pvt_329_lifetimes

@attribute "unit_id" integer
@attribute "type" string
@attribute "gained" integer
@attribute "lost" integer
@attribute "completed" integer
@attribute "observable" integer

@data

6,Protoss Probe,0,34775,0,0
7,Protoss Probe,0,6651,0,0
8,Protoss Probe,0,24596,0,0
9,Protoss Probe,0,32890,0,0
10,Protoss Nexus,0,34775,0,0
34,Protoss Assimilator,16895,34775,17565,16895
68,Protoss Assimilator,3658,34775,4328,3658
69,Protoss Assimilator,15520,34775,16190,15520
104,Protoss Assimilator,22987,34775,23657,22987
155,Protoss Probe,32,4031,333,333
157,Protoss Probe,396,22806,697,697
159,Protoss Probe,698,20796,999,999
161,Protoss Probe,1000,30951,1301,1301
163,Protoss Pylon,1330,7362,1851,1330
165,Protoss Probe,1478,6566,1779,1779
167,Protoss Gateway,1952,7897,2923,1952
169,Protoss Probe,2032,34775,2333,2333
171,Protoss Probe,2334,8539,2635,2635
173,Protoss Pylon,2659,3171,-1,2659
174,Protoss Probe,2662,8604,2963,2963
176,Protoss Zealot,2942,4393,3543,3543
177,Protoss Probe,2964,19550,3265,3265
180,Protoss Pylon,3258,34775,3779,3258
181,Protoss Probe,3266,19583,3567,3567
183,Protoss Probe,3568,19797,3869,3869
185,Protoss Zealot,3779,6038,4380,4380
186,Protoss Probe,3956,24627,4257,4257
188,Protoss Probe,4258,24697,4559,4559
190,Protoss Zealot,4381,5714,4982,4982
191,Protoss Gateway,4450,34775,5421,4450
193,Protoss Probe,4560,33705,4861,4861
195,Protoss Cybernetics Core,4706,34775,5677,4706
198,Protoss Probe,4980,34775,5281,5281
199,Protoss Zealot,4983,6204,5584,5584
201,Protoss Pylon,5286,34775,5807,5286
202,Protoss Probe,5318,19849,5619,5619
206,Protoss Dragoon,5762,9987,6513,6513
208,Protoss Dragoon,5826,11496,6577,6577
209,Protoss Probe,6088,8476,6389,6389
213,Protoss Probe,6390,8663,6691,6691
215,Protoss Dragoon,6514,9974,7265,7265
216,Protoss Pylon,6553,34775,7074,6553
218,Protoss Dragoon,6670,7393,-1,-1
219,Protoss Probe,6782,8433,7083,7083
223,Protoss Probe,7138,32851,7439,7439
224,Protoss Pylon,7140,7297,-1,7140
226,Protoss Dragoon,7308,11605,8059,8059
228,Protoss Gateway,7426,34775,8397,7426
229,Protoss Probe,7478,33966,7779,7779
230,Protoss Pylon,7502,34775,8023,7502
231,Protoss Probe,7780,24751,8081,8081
233,Protoss Robotics Facility,7933,34775,9204,7933
236,Protoss Dragoon,8116,9824,8867,8867
237,Protoss Probe,8170,34775,8471,8471
240,Protoss Probe,8472,34775,8773,8773
242,Protoss Probe,8774,32987,9075,9075
245,Protoss Dragoon,8928,29253,9679,9679
246,Protoss Dragoon,8984,29038,9735,9735
247,Protoss Probe,9076,33889,9377,9377
248,Protoss Observatory,9220,34775,9741,9220
250,Protoss Probe,9378,34775,9679,9679
251,Protoss Pylon,9416,34775,9937,9416
254,Protoss Probe,9680,34775,9981,9981
255,Protoss Observer,9750,26252,10351,10351
257,Protoss Dragoon,9866,29838,10617,10617
259,Protoss Dragoon,9892,29766,10643,10643
265,Protoss Probe,10412,32942,10713,10713
267,Protoss Observer,10432,25819,11033,11033
270,Protoss Nexus,10578,34775,12449,10578
272,Protoss Dragoon,10782,29207,11533,11533
274,Protoss Dragoon,10858,29810,11609,11609
275,Protoss Probe,11004,19739,11305,11305
276,Protoss Observer,11034,16784,11635,11635
278,Protoss Pylon,11240,34775,11761,11240
280,Protoss Probe,11306,12305,11607,11607
282,Protoss Dragoon,11534,29771,12285,12285
283,Protoss Dragoon,11610,27498,12361,12361
285,Protoss Probe,11616,34036,11917,11917
286,Protoss Observer,11688,11723,-1,-1
288,Protoss Shuttle,11810,29159,12711,12711
290,Protoss Probe,11990,33962,12291,12291
292,Protoss Robotics Support Bay,12116,34775,12637,12116
293,Protoss Probe,12354,32993,12655,12655
296,Protoss Probe,12458,19679,12759,12759
298,Protoss Probe,12656,33000,12957,12957
299,Protoss Reaver,12712,29088,13763,13763
303,Protoss Zealot,12830,15331,13431,13431
305,Protoss Zealot,12920,15233,13521,13521
307,Protoss Probe,13090,34775,13391,13391
308,Protoss Probe,13110,34775,13411,13411
310,Protoss Pylon,13225,34775,13746,13225
312,Protoss Probe,13490,34775,13791,13791
314,Protoss Probe,13504,30951,13805,13805
320,Protoss Pylon,13759,31813,14280,13759
321,Protoss Pylon,13767,32107,14288,13767
322,Protoss Dragoon,13788,27430,14539,14539
323,Protoss Dragoon,13792,27626,14543,14543
324,Protoss Pylon,13821,32082,14342,13821
325,Protoss Observer,13822,21933,14423,14423
326,Protoss Probe,13892,32912,14193,14193
327,Protoss Probe,13906,27212,14207,14207
330,Protoss Scarab,23624,23629,23624,23624
332,Protoss Scarab,23561,23566,23561,23561
335,Protoss Scarab,23494,23499,23494,23494
