@relation pvt_588_lifetimes

@attribute "unit_id" integer
@attribute "type" string
@attribute "gained" integer
@attribute "lost" integer
@attribute "completed" integer
@attribute "observable" integer

@data

1,Protoss Probe,0,21911,0,0
2,Protoss Probe,0,22162,0,0
3,Protoss Probe,0,44748,0,0
4,Protoss Probe,0,40251,0,0
5,Protoss Nexus,0,72527,0,0
49,Protoss Assimilator,24871,28126,25541,24871
57,Protoss Assimilator,12377,72527,13047,12377
82,Protoss Assimilator,44009,72527,44679,44009
83,Protoss Assimilator,3288,72527,3958,3288
91,Protoss Assimilator,6427,72527,7097,6427
110,Protoss Assimilator,16555,24650,17225,16555
115,Protoss Probe,12,21970,313,313
116,Protoss Probe,374,54137,675,675
118,Protoss Probe,676,28314,977,977
120,Protoss Probe,978,41592,1279,1279
122,Protoss Pylon,1179,72527,1700,1179
123,Protoss Probe,1280,44814,1581,1581
127,Protoss Probe,1700,37660,2001,2001
129,Protoss Probe,2002,6653,2303,2303
132,Protoss Probe,2304,54100,2605,2605
133,Protoss Nexus,2576,72527,4447,2576
135,Protoss Probe,2666,21178,2967,2967
138,Protoss Gateway,3005,72527,3976,3005
139,Protoss Probe,3066,21104,3367,3367
142,Protoss Probe,3396,70707,3697,3697
143,Protoss Probe,3698,28344,3999,3999
147,Protoss Cybernetics Core,4106,72527,5077,4106
148,Protoss Gateway,4196,72527,5167,4196
149,Protoss Probe,4236,70828,4537,4537
151,Protoss Probe,4462,37578,4763,4763
152,Protoss Probe,4538,40308,4839,4839
155,Protoss Probe,4820,72527,5121,5121
156,Protoss Probe,4840,28340,5141,5141
158,Protoss Pylon,4913,72527,5434,4913
162,Protoss Dragoon,5098,33141,5849,5849
163,Protoss Dragoon,5286,33288,6037,6037
164,Protoss Probe,5548,37694,5849,5849
166,Protoss Probe,5608,37358,5909,5909
168,Protoss Dragoon,5850,31165,6601,6601
170,Protoss Probe,6000,28391,6301,6301
171,Protoss Pylon,6055,72527,6576,6055
173,Protoss Dragoon,6144,8452,6895,6895
174,Protoss Probe,6260,31788,6561,6561
175,Protoss Probe,6302,27539,6603,6603
178,Protoss Dragoon,6602,72527,7353,7353
